SourceFile,LineNumber,GroupId,ArtifactId,Author,BugType,CWE,MethodSink,UnknownSource,SourceMethod,HasTainted Source,HasSafeSource,HasUnknownSource,Status,Key
src/testcases/CWE113_HTTP_Response_Splitting/s01/CWE113_HTTP_Response_Splitting__Environment_addCookieServlet_01.java,37,,,,HTTP_RESPONSE_SPLITTING,113,javax/servlet/http/Cookie.<init>(Ljava/lang/String;Ljava/lang/String;)V,java/lang/System.getenv(Ljava/lang/String;)Ljava/lang/String;,testcases/CWE113_HTTP_Response_Splitting/s01/CWE113_HTTP_Response_Splitting__Environment_addCookieServlet_01.bad(Ljavax/servlet/http/HttpServletRequest;Ljavax/servlet/http/HttpServletResponse;)V,true,false,false,BAD,
src/testcases/CWE113_HTTP_Response_Splitting/s01/CWE113_HTTP_Response_Splitting__Environment_addCookieServlet_02.java,47,,,,HTTP_RESPONSE_SPLITTING,113,javax/servlet/http/Cookie.<init>(Ljava/lang/String;Ljava/lang/String;)V,java/lang/System.getenv(Ljava/lang/String;)Ljava/lang/String;,testcases/CWE113_HTTP_Response_Splitting/s01/CWE113_HTTP_Response_Splitting__Environment_addCookieServlet_02.bad(Ljavax/servlet/http/HttpServletRequest;Ljavax/servlet/http/HttpServletResponse;)V,true,false,false,BAD,
src/testcases/CWE113_HTTP_Response_Splitting/s01/CWE113_HTTP_Response_Splitting__Environment_addCookieServlet_03.java,47,,,,HTTP_RESPONSE_SPLITTING,113,javax/servlet/http/Cookie.<init>(Ljava/lang/String;Ljava/lang/String;)V,java/lang/System.getenv(Ljava/lang/String;)Ljava/lang/String;,testcases/CWE113_HTTP_Response_Splitting/s01/CWE113_HTTP_Response_Splitting__Environment_addCookieServlet_03.bad(Ljavax/servlet/http/HttpServletRequest;Ljavax/servlet/http/HttpServletResponse;)V,true,false,false,BAD,
src/testcases/CWE113_HTTP_Response_Splitting/s01/CWE113_HTTP_Response_Splitting__Environment_addCookieServlet_04.java,54,,,,HTTP_RESPONSE_SPLITTING,113,javax/servlet/http/Cookie.<init>(Ljava/lang/String;Ljava/lang/String;)V,java/lang/System.getenv(Ljava/lang/String;)Ljava/lang/String;,testcases/CWE113_HTTP_Response_Splitting/s01/CWE113_HTTP_Response_Splitting__Environment_addCookieServlet_04.bad(Ljavax/servlet/http/HttpServletRequest;Ljavax/servlet/http/HttpServletResponse;)V,true,false,false,BAD,
src/testcases/CWE113_HTTP_Response_Splitting/s01/CWE113_HTTP_Response_Splitting__Environment_addCookieServlet_05.java,54,,,,HTTP_RESPONSE_SPLITTING,113,javax/servlet/http/Cookie.<init>(Ljava/lang/String;Ljava/lang/String;)V,java/lang/System.getenv(Ljava/lang/String;)Ljava/lang/String;,testcases/CWE113_HTTP_Response_Splitting/s01/CWE113_HTTP_Response_Splitting__Environment_addCookieServlet_05.bad(Ljavax/servlet/http/HttpServletRequest;Ljavax/servlet/http/HttpServletResponse;)V,true,false,false,BAD,
src/testcases/CWE113_HTTP_Response_Splitting/s01/CWE113_HTTP_Response_Splitting__Environment_addCookieServlet_06.java,52,,,,HTTP_RESPONSE_SPLITTING,113,javax/servlet/http/Cookie.<init>(Ljava/lang/String;Ljava/lang/String;)V,java/lang/System.getenv(Ljava/lang/String;)Ljava/lang/String;,testcases/CWE113_HTTP_Response_Splitting/s01/CWE113_HTTP_Response_Splitting__Environment_addCookieServlet_06.bad(Ljavax/servlet/http/HttpServletRequest;Ljavax/servlet/http/HttpServletResponse;)V,true,false,false,BAD,
src/testcases/CWE113_HTTP_Response_Splitting/s01/CWE113_HTTP_Response_Splitting__Environment_addCookieServlet_07.java,52,,,,HTTP_RESPONSE_SPLITTING,113,javax/servlet/http/Cookie.<init>(Ljava/lang/String;Ljava/lang/String;)V,java/lang/System.getenv(Ljava/lang/String;)Ljava/lang/String;,testcases/CWE113_HTTP_Response_Splitting/s01/CWE113_HTTP_Response_Splitting__Environment_addCookieServlet_07.bad(Ljavax/servlet/http/HttpServletRequest;Ljavax/servlet/http/HttpServletResponse;)V,true,false,false,BAD,
src/testcases/CWE113_HTTP_Response_Splitting/s01/CWE113_HTTP_Response_Splitting__Environment_addCookieServlet_08.java,60,,,,HTTP_RESPONSE_SPLITTING,113,javax/servlet/http/Cookie.<init>(Ljava/lang/String;Ljava/lang/String;)V,java/lang/System.getenv(Ljava/lang/String;)Ljava/lang/String;,testcases/CWE113_HTTP_Response_Splitting/s01/CWE113_HTTP_Response_Splitting__Environment_addCookieServlet_08.bad(Ljavax/servlet/http/HttpServletRequest;Ljavax/servlet/http/HttpServletResponse;)V,true,false,false,BAD,
src/testcases/CWE113_HTTP_Response_Splitting/s01/CWE113_HTTP_Response_Splitting__Environment_addCookieServlet_09.java,47,,,,HTTP_RESPONSE_SPLITTING,113,javax/servlet/http/Cookie.<init>(Ljava/lang/String;Ljava/lang/String;)V,java/lang/System.getenv(Ljava/lang/String;)Ljava/lang/String;,testcases/CWE113_HTTP_Response_Splitting/s01/CWE113_HTTP_Response_Splitting__Environment_addCookieServlet_09.bad(Ljavax/servlet/http/HttpServletRequest;Ljavax/servlet/http/HttpServletResponse;)V,true,false,false,BAD,
src/testcases/CWE113_HTTP_Response_Splitting/s01/CWE113_HTTP_Response_Splitting__Environment_addCookieServlet_10.java,47,,,,HTTP_RESPONSE_SPLITTING,113,javax/servlet/http/Cookie.<init>(Ljava/lang/String;Ljava/lang/String;)V,java/lang/System.getenv(Ljava/lang/String;)Ljava/lang/String;,testcases/CWE113_HTTP_Response_Splitting/s01/CWE113_HTTP_Response_Splitting__Environment_addCookieServlet_10.bad(Ljavax/servlet/http/HttpServletRequest;Ljavax/servlet/http/HttpServletResponse;)V,true,false,false,BAD,
src/testcases/CWE113_HTTP_Response_Splitting/s01/CWE113_HTTP_Response_Splitting__Environment_addCookieServlet_11.java,47,,,,HTTP_RESPONSE_SPLITTING,113,javax/servlet/http/Cookie.<init>(Ljava/lang/String;Ljava/lang/String;)V,java/lang/System.getenv(Ljava/lang/String;)Ljava/lang/String;,testcases/CWE113_HTTP_Response_Splitting/s01/CWE113_HTTP_Response_Splitting__Environment_addCookieServlet_11.bad(Ljavax/servlet/http/HttpServletRequest;Ljavax/servlet/http/HttpServletResponse;)V,true,false,false,BAD,
src/testcases/CWE113_HTTP_Response_Splitting/s01/CWE113_HTTP_Response_Splitting__Environment_addCookieServlet_12.java,48,,,,HTTP_RESPONSE_SPLITTING,113,javax/servlet/http/Cookie.<init>(Ljava/lang/String;Ljava/lang/String;)V,java/lang/System.getenv(Ljava/lang/String;)Ljava/lang/String;,testcases/CWE113_HTTP_Response_Splitting/s01/CWE113_HTTP_Response_Splitting__Environment_addCookieServlet_12.bad(Ljavax/servlet/http/HttpServletRequest;Ljavax/servlet/http/HttpServletResponse;)V,true,false,false,BAD,
src/testcases/CWE113_HTTP_Response_Splitting/s01/CWE113_HTTP_Response_Splitting__Environment_addCookieServlet_13.java,47,,,,HTTP_RESPONSE_SPLITTING,113,javax/servlet/http/Cookie.<init>(Ljava/lang/String;Ljava/lang/String;)V,java/lang/System.getenv(Ljava/lang/String;)Ljava/lang/String;,testcases/CWE113_HTTP_Response_Splitting/s01/CWE113_HTTP_Response_Splitting__Environment_addCookieServlet_13.bad(Ljavax/servlet/http/HttpServletRequest;Ljavax/servlet/http/HttpServletResponse;)V,true,false,false,BAD,
src/testcases/CWE113_HTTP_Response_Splitting/s01/CWE113_HTTP_Response_Splitting__Environment_addCookieServlet_14.java,47,,,,HTTP_RESPONSE_SPLITTING,113,javax/servlet/http/Cookie.<init>(Ljava/lang/String;Ljava/lang/String;)V,java/lang/System.getenv(Ljava/lang/String;)Ljava/lang/String;,testcases/CWE113_HTTP_Response_Splitting/s01/CWE113_HTTP_Response_Splitting__Environment_addCookieServlet_14.bad(Ljavax/servlet/http/HttpServletRequest;Ljavax/servlet/http/HttpServletResponse;)V,true,false,false,BAD,
src/testcases/CWE113_HTTP_Response_Splitting/s01/CWE113_HTTP_Response_Splitting__Environment_addCookieServlet_15.java,50,,,,HTTP_RESPONSE_SPLITTING,113,javax/servlet/http/Cookie.<init>(Ljava/lang/String;Ljava/lang/String;)V,java/lang/System.getenv(Ljava/lang/String;)Ljava/lang/String;,testcases/CWE113_HTTP_Response_Splitting/s01/CWE113_HTTP_Response_Splitting__Environment_addCookieServlet_15.bad(Ljavax/servlet/http/HttpServletRequest;Ljavax/servlet/http/HttpServletResponse;)V,true,false,false,BAD,
src/testcases/CWE113_HTTP_Response_Splitting/s01/CWE113_HTTP_Response_Splitting__Environment_addCookieServlet_16.java,43,,,,HTTP_RESPONSE_SPLITTING,113,javax/servlet/http/Cookie.<init>(Ljava/lang/String;Ljava/lang/String;)V,java/lang/System.getenv(Ljava/lang/String;)Ljava/lang/String;,testcases/CWE113_HTTP_Response_Splitting/s01/CWE113_HTTP_Response_Splitting__Environment_addCookieServlet_16.bad(Ljavax/servlet/http/HttpServletRequest;Ljavax/servlet/http/HttpServletResponse;)V,true,false,false,BAD,
